event_type;ticket;order_type;lots;symbol;open_price;open_time;sl;tp;close_price;close_time;profit;magic;comment
OPEN;39670286;BUY;0.04;XAUUSD;4334.30;2025.12.15 15:11:59;;;;;0.00;131128721;GoldenPhoenix™ - SharpFX
CLOSE;39670286;BUY;0.04;XAUUSD;4334.30;2025.12.15 15:11:59;;;4340.37;2025.12.15 15:30:59;24.28;131128721;GoldenPhoenix™ - SharpFX
OPEN;39674748;BUY;0.04;XAUUSD;4333.44;2025.12.15 15:59:37;;;;;0.00;131147900;GoldenPhoenix™ - SharpFX
MODIFY;39674748;BUY;0.04;XAUUSD;4333.44;2025.12.15 15:59:37;4333.50;;;;0.00;131147900;GoldenPhoenix™ - SharpFX
CLOSE;39674748;BUY;0.04;XAUUSD;4333.44;2025.12.15 15:59:37;4333.50;;4334.16;2025.12.15 16:05:04;2.88;131147900;GoldenPhoenix™ - SharpFX
OPEN;39676417;SELL;0.04;XAUUSD;4331.16;2025.12.15 16:09:11;;;;;0.00;131151951;GoldenPhoenix™ - SharpFX
MODIFY;39676417;SELL;0.04;XAUUSD;4331.16;2025.12.15 16:09:11;;4324.49;;;0.00;131151951;GoldenPhoenix™ - SharpFX
MODIFY;39676417;SELL;0.04;XAUUSD;4331.16;2025.12.15 16:09:11;4331.00;4324.49;;;0.00;131151951;GoldenPhoenix™ - SharpFX
CLOSE;39676417;SELL;0.04;XAUUSD;4331.16;2025.12.15 16:09:11;4331.00;4324.49;4329.21;2025.12.15 16:17:34;7.80;131151951;GoldenPhoenix™ - SharpFX
OPEN;39685400;BUY;0.04;XAUUSD;4313.40;2025.12.15 17:03:08;;;;;0.00;131185356;GoldenPhoenix™ - SharpFX
CLOSE;39685400;BUY;0.04;XAUUSD;4313.40;2025.12.15 17:03:08;;;4322.72;2025.12.15 17:05:54;37.28;131185356;GoldenPhoenix™ - SharpFX


